symbol	usa	candidate	score	best_score	best	classification	pass3_classification	structural_score	rom_score	total_score	reasons
_AgathasRoomAgathaDontRunAwayText	21:69FD	21:69EA	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_AgathasRoomAgathaDontRunAwayText	21:69FD	21:6B9D	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_AgathasRoomAgathaDontRunAwayText	21:69FD	21:68B4	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	140	80	220	after-prev;reasonable-prev-ratio
_BecameConfusedText	25:4878	25:493C	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_BikeShopBagFullText	26:4F4D	26:4FDD	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_BookcaseText	22:46C9	22:4762	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_BrunosRoomBrunoDontRunAwayText	21:684B	21:68B4	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_BrunosRoomBrunoDontRunAwayText	21:684B	21:69EA	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_BrunosRoomBrunoDontRunAwayText	21:684B	21:6B9D	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_CableClubNPCPleaseComeAgainText	29:4000	28:69C0	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	50	80	130	after-prev;reasonable-prev-ratio
_CableClubNPCPleaseComeAgainText	29:4000	29:4000	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	50	80	130	after-prev;reasonable-prev-ratio
_CantCarryMoreText	22:60A9	22:62B1	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_CeladonCityGramps3TM41NoRoomText	29:5BB8	29:5D24	45	45	YES	STILL_AMBIGUOUS	PLAUSIBLE	140	80	220	after-prev;reasonable-prev-ratio
_CeladonDinerGymGuideCoinCaseNoRoomText	27:6090	27:6213	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_CeladonMart3FClerkTM18NoRoomText	27:48AA	27:491F	45	45	YES	STILL_AMBIGUOUS	PLAUSIBLE	140	80	220	after-prev;reasonable-prev-ratio
_CeladonMartRoofLittleGirlGiveHerADrinkText	27:4E16	27:4E9F	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	140	80	220	after-prev;reasonable-prev-ratio
_CeladonMartRoofLittleGirlGiveHerADrinkText	27:4E16	27:4EC2	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	140	80	220	after-prev;reasonable-prev-ratio
_CeladonMartRoofLittleGirlImThirstyText	27:4DEE	27:4E9F	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	140	80	220	after-prev;reasonable-prev-ratio
_CeladonMartRoofLittleGirlImThirstyText	27:4DEE	27:4EC2	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	140	80	220	after-prev;reasonable-prev-ratio
_CeruleanGymMistyTM11NoRoomText	26:4B90	26:4C36	45	45	YES	STILL_AMBIGUOUS	PLAUSIBLE	140	80	220	after-prev;reasonable-prev-ratio
_CinnabarGymSuperNerd2EndBattleText	28:4AF4	28:4B2E	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_CinnabarLabFossilRoomScientist1GoForAWalkText	28:5156	28:5255	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_CinnabarLabFossilRoomScientist1GoForAWalkText	28:5156	28:5366	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_CinnabarLabFossilRoomScientist1GoForAWalkText2	28:528F	28:5255	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_CinnabarLabFossilRoomScientist1GoForAWalkText2	28:528F	28:5366	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_ColosseumOpponentText	25:4B04	25:4BC1	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	180	80	260	after-prev;reasonable-prev-ratio
_ColosseumOpponentText	25:4B04	25:4BC4	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	180	80	260	after-prev;reasonable-prev-ratio
_DepositHowManyText	22:5FF5	22:61FE	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_DexRatingText	22:4267	22:427E	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_DexRatingText	22:4267	22:4280	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_DidntAffectText	25:48E7	25:49AE	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_DoesntAffectMonText	22:5AB4	22:5C79	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_ExclamationText	20:4093	20:40A4	120	120	YES	CONFIRMED	HIGH_CONFIDENCE	180	80	260	after-prev;before-next;same-neighbour-bank;reasonable-prev-ratio;reasonable-next-ratio;inside-resolved-interval
_FellText	25:47C9	25:4870	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_FellText	25:47C9	25:4888	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_FightingDojoBlackbelt1EndBattleText	28:59B7	28:5A4E	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_FightingDojoText	22:4EF9	22:5018	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_FrozenText	25:476D	25:4834	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_FuchsiaCityPokemonText	29:5F96	29:6142	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_FuchsiaGoodRodHouseFishingGuruNoRoomText	28:4782	28:47AD	45	45	YES	STILL_AMBIGUOUS	PLAUSIBLE	140	80	220	after-prev;reasonable-prev-ratio
_FuchsiaGymKogaTM06NoRoomText	28:4143	28:4160	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_IsConfusedText	22:597E	22:5B4E	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_IsFrozenText	22:5920	22:5AF7	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_IsUnaffectedText	25:48FB	25:49C3	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_ItemUseNoEffectText	29:6AE9	29:6D14	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_LinkCableHelpText2	22:5027	22:5146	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_LoreleisRoomLoreleiDontRunAwayText	21:6729	21:68B4	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_LoreleisRoomLoreleiDontRunAwayText	21:6729	21:69EA	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_MtMoon1FCooltrainerF1EndBattleText	20:4778	20:4835	120	120	YES	CONFIRMED	HIGH_CONFIDENCE	160	80	240	after-prev;before-next;same-neighbour-bank;reasonable-prev-ratio;reasonable-next-ratio;inside-resolved-interval
_MtMoonB1FUnusedText	20:495C	20:4A2F	120	120	YES	CONFIRMED	HIGH_CONFIDENCE	160	80	240	after-prev;before-next;same-neighbour-bank;reasonable-prev-ratio;reasonable-next-ratio;inside-resolved-interval
_MtMoonPokecenterClipboardText	22:6A5A	22:6CCF	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_Museum1FScientist2YouDontHaveSpaceText	25:67C9	25:6AF5	45	45	YES	STILL_AMBIGUOUS	PLAUSIBLE	140	80	220	after-prev;reasonable-prev-ratio
_OaksLabOak2Text	25:5268	25:53A2	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_PalletTownRivalsHouseSignText	29:43C1	29:4427	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	180	80	260	after-prev;reasonable-prev-ratio
_PalletTownRivalsHouseSignText	29:43C1	29:4432	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	180	80	260	after-prev;reasonable-prev-ratio
_PewterGymTM34NoRoomText	26:41AB	26:41C9	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_PokemartItemBagFullText	28:6670	28:673F	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_PokemartThankYouText	28:670D	28:67CC	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_PokemonBooksText	22:55C1	22:5750	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_PokemonCenterFarewellText	28:6910	28:69C0	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_PokemonFanClubBagFullText	26:6933	26:6963	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_PokemonMansion1FScientistEndBattleText	28:47D5	28:47F8	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_PokemonMansion1FSwitchNotPressedText	28:4834	28:4863	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_PokemonMansion1FSwitchText	28:480A	28:4829	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_PokemonMansion2FSwitchNotPressedText	21:53F1	21:5509	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_PokemonMansion2FSwitchText	21:53C7	21:54CF	45	45	YES	STILL_AMBIGUOUS	PLAUSIBLE	140	80	220	after-prev;reasonable-prev-ratio
_PokemonMansion3FSuperNerdEndBattleText	21:541C	21:5532	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_PokemonMansionB1FBurglarEndBattleText	21:54F7	21:5612	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_PokemonTower5FChanneler2AfterBattleText	26:59C3	26:5A5C	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_PokemonTower5FChanneler2AfterBattleText	26:59C3	26:5A9B	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_PokemonTower5FChanneler3AfterBattleText	26:5A0C	26:5A9B	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_PokemonTower5FChanneler3AfterBattleText	26:5A0C	26:5A5C	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_PokemonTower7FRocket1EndBattleText	26:5D56	26:5DF2	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_RockTunnel1FHiker3EndBattleText	23:4459	23:4474	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_RockTunnelB1FCooltrainerF2EndBattleText	21:6C3F	21:6E1D	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_RoseText	25:47AB	25:4870	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_RoseText	25:47AB	25:4888	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_Route11DiglettsCaveSignText	24:408F	24:4098	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_Route12Gate2FBrunetteGirlTM39NoRoomText	23:493C	23:4953	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_Route12SnorlaxText	24:409E	24:40A8	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_Route12SnorlaxWokeUpText	24:40BF	24:40D0	45	45	YES	STILL_AMBIGUOUS	PLAUSIBLE	140	80	220	after-prev;reasonable-prev-ratio
